itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,39140,5,-165,-0.42,39228.0,-6.3833,1398893,54863,51410
371460,4,TIGER 차이나전기차SOLACTIVE,19760,2,50,0.25,,15.5334,537045,10602,29782
102110,1,TIGER 200,39170,5,-165,-0.42,39263.0,-6.3319,313106,12281,21759
252670,3,KODEX 200선물인버스2X,2250,2,25,1.12,2247.0,11.809,59948899,134086,21191
153130,6,KODEX 단기채권,103020,2,5,0.0,103021.0,0.1214,1158,119,19441
122630,3,KODEX 레버리지,23080,5,-195,-0.84,23179.0,-13.347,4611950,106893,19433
278540,1,KODEX MSCI Korea TR,12620,5,-30,-0.24,12611.0,-5.983,301391,3801,18349
133690,4,TIGER 미국나스닥100,83920,2,370,0.44,,2.7991,38136,3199,16776
273130,6,KODEX 종합채권(AA-이상)액티브,108230,5,-10,-0.01,108233.0,-1.3265,576,62,15141
157450,6,TIGER 단기통안채,100440,5,-5,0.0,100442.0,0.1545,154,15,14848
292150,2,TIGER TOP10,13480,5,-90,-0.66,13487.0,-6.6071,79355,1072,13507
310970,1,TIGER MSCI Korea TR,15880,5,-10,-0.06,15845.0,-6.2814,29,0,13371
102780,2,KODEX 삼성그룹,9750,5,-65,-0.66,9755.0,-6.4793,28389,276,12919
278530,1,KODEX 200TR,12840,5,-70,-0.54,12869.0,-6.3475,4000,51,12712
305720,2,KODEX 2차전지산업,22590,5,-110,-0.48,22590.0,6.9241,352278,8011,12447
214980,6,KODEX 단기채권PLUS,103320,2,10,0.01,103318.0,0.1065,2826,291,12171
305540,2,TIGER 2차전지테마,23010,5,-80,-0.35,23000.0,13.9402,430814,9982,12138
114800,3,KODEX 인버스,4075,2,15,0.37,4081.0,6.1437,12506971,50915,10905
148020,1,KBSTAR 200,39265,5,-175,-0.44,39340.0,-6.2983,21093,829,10896
381170,4,TIGER 미국테크TOP10 INDXX,12685,2,75,0.59,,4.4306,254302,3226,10706
360750,4,TIGER 미국S&P500,13675,2,85,0.63,,2.9077,157997,2159,10496
139260,2,TIGER 200 IT,36115,5,-225,-0.62,36219.0,-2.075,39476,1431,9180
381180,4,TIGER 미국필라델피아반도체나스닥,12130,3,0,0.0,,13.0475,212536,2574,8685
233740,1,KODEX 코스닥150 레버리지,15415,2,25,0.16,15534.0,-7.5399,2404845,37336,7569
152100,1,ARIRANG 200,39890,5,-125,-0.31,39876.0,-6.2991,4341,173,7459
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),11865,5,-75,-0.63,,8.2993,244953,2901,7385
105190,1,KINDEX 200,39405,5,-145,-0.37,39445.0,-6.313,14212,561,6738
315930,2,KODEX Top5PlusTR,18745,5,-10,-0.05,18682.0,-2.3178,27,0,6711
091180,2,KODEX 자동차,20580,5,-130,-0.63,20618.0,-9.5436,95840,1972,6689
293180,1,HANARO 200,39270,5,-100,-0.25,39274.0,-6.3043,602,23,6519
069660,1,KOSEF 200,39150,5,-180,-0.46,39201.0,-6.3594,246,9,5579
294400,1,KOSEF 200TR,46765,5,-170,-0.36,46779.0,-6.2426,35,1,5355
360200,4,KINDEX 미국S&P500,13775,2,85,0.62,,2.9632,27951,384,5345
364980,2,TIGER KRX2차전지K-뉴딜,16680,5,-90,-0.54,16688.0,-1.062,212145,3556,5321
314250,4,KODEX 미국FANG플러스(H),29215,2,375,1.3,,-1.7042,27420,801,4835
251340,3,KODEX 코스닥150선물인버스,4205,5,-5,-0.12,4212.0,1.2019,10201074,42710,4621
400970,2,TIGER Fn메타버스,12595,5,-20,-0.16,12601.0,,543232,6906,4251
401470,2,KODEX K-메타버스액티브,12470,5,-80,-0.64,12473.0,,1209424,15263,4177
385540,6,KBSTAR KIS종합채권(A-이상)액티브,99885,3,0,0.0,99853.0,-1.1823,0,0,3800
196230,6,KBSTAR 단기통안채,104715,2,5,0.0,104716.0,0.1434,626364,65589,3761
226490,1,KODEX 코스피,29825,5,-150,-0.5,29867.0,-6.8521,421,12,3728
364960,2,TIGER KRX BBIG K-뉴딜,11695,5,-165,-1.39,11715.0,-12.4724,107135,1258,3561
251350,4,KODEX 선진국MSCI World,20735,2,255,1.25,,-0.7271,86873,1795,3525
229200,1,KODEX 코스닥 150,14600,2,15,0.1,14746.0,-3.9513,393804,5768,3453
332500,1,KINDEX 200TR,23960,5,-160,-0.66,24016.0,-6.1479,1798,43,3450
367770,2,KBSTAR Fn수소경제테마,11295,3,0,0.0,11294.0,-11.2378,30624,347,3343
367380,4,KINDEX 미국나스닥100,14400,2,65,0.45,,2.8335,30562,439,3341
290130,2,KBSTAR ESG사회책임투자,12890,5,-45,-0.35,12906.0,-4.8198,524,6,3332
091170,2,KODEX 은행,7500,2,10,0.13,7513.0,1.4905,550902,4124,3225
371160,4,TIGER 차이나항셍테크,7680,2,125,1.65,,-13.2108,255294,1962,3107
332940,1,HANARO MSCI Korea TR,15815,5,-30,-0.19,15817.0,-6.0202,9,0,3084
407310,1,HANARO 200 TOP10,9840,5,-35,-0.35,9827.0,,476,4,2696
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100180,2,10,0.01,100190.0,0.1149,465,46,2560
091160,2,KODEX 반도체,37305,5,-40,-0.11,37400.0,3.5635,76264,2854,2518
272560,6,KBSTAR 단기국공채액티브,102280,2,15,0.01,102280.0,0.088,85219,8716,2505
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),18825,5,-85,-0.45,,-3.8882,4071,76,2489
143850,4,TIGER 미국S&P500선물(H),53785,2,360,0.67,,0.6404,78152,4203,2488
