itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
459580,6,KODEX CD금리액티브(합성),1045070,2,210,0.02,1045066.0,0.8897,318380,332728,92298
357870,6,TIGER CD금리투자KIS(합성),54780,2,15,0.03,54786.0,0.8842,315100,17261,59978
069500,1,KODEX 200,36080,2,380,1.06,36166.0,-3.5501,1632714,58983,55834
423160,6,KODEX KOFR금리액티브(합성),107710,2,15,0.01,107682.0,0.8946,8378,902,44505
360750,4,TIGER 미국S&P500,18435,2,160,0.88,18432.0,2.7898,672916,12417,41940
449170,6,TIGER KOFR금리액티브(합성),106240,2,20,0.02,106213.0,0.8976,16658,1769,37423
133690,4,TIGER 미국나스닥100,115400,2,1940,1.71,115297.0,2.3997,85096,9826,35416
273130,6,KODEX 종합채권(AA-이상)액티브,114190,2,185,0.16,114201.0,3.806,4610,526,28297
381170,4,TIGER 미국테크TOP10 INDXX,19935,2,400,2.05,19906.0,6.0819,501156,9988,26753
381180,4,TIGER 미국필라델피아반도체나스닥,17855,2,585,3.39,17795.0,-0.827,1210504,21612,26479
122630,3,KODEX 레버리지,18090,2,380,2.15,18194.0,-9.5506,9091144,164778,23255
278530,1,KODEX 200TR,12600,2,130,1.04,12622.0,-3.4457,75508,952,22245
465680,6,KODEX 24-12 은행채(AA+이상)액티브,10385,3,0,0.0,10386.0,0.9722,765,7,21825
102110,1,TIGER 200,36160,2,385,1.08,36229.0,-3.4387,1077372,39000,19020
481050,6,KODEX 1년은행양도성예금증서+액티브(합성),1011865,2,85,0.01,1011956.0,0.8924,7101,7185,17925
455890,6,RISE 머니마켓액티브,52755,2,10,0.02,52760.0,1.0053,32716,1725,17915
470260,6,TIGER 24-12 금융채(AA-이상),51740,2,15,0.03,51748.0,1.0253,4818,249,16188
379800,4,KODEX 미국S&P500TR,16850,2,155,0.93,16846.0,2.8017,382015,6440,15839
371460,4,TIGER 차이나전기차SOLACTIVE,6710,2,55,0.83,6695.0,-16.9682,147981,994,15226
453850,6,ACE 미국30년국채액티브(H),8830,2,60,0.68,8833.0,7.3176,702807,6204,14773
233740,3,KODEX 코스닥150레버리지,9315,2,260,2.87,9362.0,-18.2024,7652238,71308,14299
214980,6,KODEX 단기채권PLUS,111585,3,0,0.0,111610.0,0.9956,205628,22947,14157
385540,6,RISE 종합채권(A-이상)액티브,105890,2,190,0.18,105877.0,3.8871,116,12,12798
102780,2,KODEX 삼성그룹,9290,2,15,0.16,9302.0,-3.3855,58518,545,12792
252670,3,KODEX 200선물인버스2X,2075,5,-45,-2.12,2076.0,4.6913,81548115,168787,12184
148020,1,RISE 200,36350,2,390,1.08,36429.0,-3.4968,250776,9132,12068
310970,1,TIGER MSCI Korea TR,15500,2,225,1.47,15501.0,-3.3228,605,9,11982
458730,4,TIGER 미국배당다우존스,11700,2,35,0.3,11699.0,1.8688,268250,3140,11893
360200,4,ACE 미국S&P500,18635,2,160,0.87,18634.0,2.8503,116191,2167,11703
315930,2,KODEX Top5PlusTR,23135,2,290,1.27,23185.0,-1.4027,58436,1356,11660
379810,4,KODEX 미국나스닥100TR,17260,2,275,1.62,17251.0,2.4427,410069,7081,11305
292150,2,TIGER TOP10,12010,2,150,1.26,12041.0,-3.5067,56528,680,10815
305720,2,KODEX 2차전지산업,16130,2,325,2.06,16160.0,-18.9488,432115,6966,10807
476810,6,KODEX 25-11 은행채(AA-이상)PLUS액티브,10240,3,0,0.0,10245.0,1.5873,1504,15,10780
305540,2,TIGER 2차전지테마,18860,2,390,2.11,18880.0,-19.4154,169494,3189,10345
475630,7,TIGER CD1년금리액티브(합성),1019610,2,95,0.01,1019788.0,0.9031,7410,7555,10300
367380,4,ACE 미국나스닥100,19825,2,325,1.67,19810.0,2.4052,450424,8930,9734
453540,6,TIGER 25-10 회사채(A+이상)액티브,53400,2,20,0.04,53392.0,1.3191,46985,2508,9391
229200,1,KODEX 코스닥150,12990,2,175,1.37,13037.0,-7.4061,842824,10954,9035
356540,6,ACE 종합채권(AA-이상)KIS액티브,104545,2,190,0.18,104469.0,4.0376,723,75,8481
396500,2,TIGER Fn반도체TOP10,11655,2,295,2.6,11675.0,-11.8697,409462,4776,8188
447820,6,TIGER 24-10 회사채(A+이상)액티브,55445,2,20,0.04,55439.0,0.9838,18932,1049,7715
436140,6,SOL 종합채권(AA-이상)액티브,110650,2,155,0.14,110680.0,3.9512,37,4,7305
157450,6,TIGER 단기통안채,107930,2,30,0.03,107930.0,0.9307,3156,340,7240
153130,6,KODEX 단기채권,110645,2,30,0.03,110657.0,0.9675,1707,188,7234
476550,6,TIGER 미국30년국채프리미엄액티브(H),9745,2,45,0.46,9751.0,6.1733,547322,5334,7143
294400,1,KOSEF 200TR,45790,2,500,1.1,45888.0,-3.6691,10074,461,7120
152100,1,PLUS 200,36635,2,385,1.06,36723.0,-3.4467,100487,3691,7107
458760,4,TIGER 미국배당+7%프리미엄다우존스,10245,2,25,0.24,10237.0,0.7889,153768,1576,6839
139260,2,TIGER 200 IT,31940,2,465,1.48,32035.0,-8.7787,9482,303,6509
451540,6,TIGER 종합채권(AA-이상)액티브,54695,2,95,0.17,54690.0,3.9801,828,45,6283
477080,6,RISE CD금리액티브(합성),101410,2,15,0.01,101383.0,0.8805,409,41,6030
446720,4,SOL 미국배당다우존스,10740,2,35,0.33,10738.0,1.7972,54866,589,5993
453870,4,TIGER 인도니프티50,13300,5,-115,-0.86,13253.0,10.4206,290193,3867,5885
368590,4,RISE 미국나스닥100,19190,2,310,1.64,19179.0,2.4527,76118,1461,5853
196230,6,RISE 단기통안채,112545,2,25,0.02,112559.0,0.9012,10181,1145,5844
272580,6,TIGER 단기채권액티브,54360,2,15,0.03,54360.0,0.9473,2290,124,5831
462010,2,TIGER 2차전지소재Fn,5785,2,150,2.66,5789.0,-18.096,838794,4845,5794
114800,3,KODEX 인버스,4245,5,-45,-1.05,4247.0,3.4981,6952183,29474,5752
329750,6,TIGER 미국달러단기채권액티브,12245,5,-65,-0.53,12248.0,1.6935,33936,415,5696
390390,4,KODEX 미국반도체MV,22135,2,750,3.51,22038.0,1.9887,339926,7521,5600
314250,4,KODEX 미국빅테크10(H),39265,2,1105,2.9,39235.0,3.7802,28825,1131,5548
458250,6,TIGER 미국30년국채스트립액티브(합성 H),46850,2,420,0.9,46858.0,11.0101,60829,2849,5355
091160,2,KODEX 반도체,36580,2,910,2.55,36642.0,-12.8513,193427,7082,5268
329200,2,TIGER 리츠부동산인프라,4730,2,10,0.21,4729.0,4.6331,236661,1117,5248
371160,4,TIGER 차이나항셍테크,5260,2,40,0.77,5207.0,-13.9324,79095,415,5200
091180,2,KODEX 자동차,18915,2,55,0.29,18957.0,-8.4022,84040,1598,5154
293180,1,HANARO 200,36175,2,350,0.98,36281.0,-3.4965,23430,848,4847
105190,1,ACE 200,36450,2,355,0.98,36546.0,-3.3472,14308,521,4793
453810,4,KODEX 인도Nifty50,13645,5,-100,-0.73,13588.0,10.6771,309944,4234,4769
469830,6,SOL 초단기채권액티브,51705,2,10,0.02,51707.0,0.9766,27951,1445,4667
439870,6,KODEX 국고채30년액티브,116325,2,725,0.63,116418.0,10.7226,4679,543,4618
379780,4,RISE 미국S&P500,16125,2,150,0.94,16127.0,2.7793,54722,883,4580
446770,4,ACE 글로벌반도체TOP4 Plus SOLACTIVE,24350,2,775,3.29,24267.0,4.7964,103230,2514,4578
