Symbol,Name,Sector,Industry
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAC,Bank of America,Financials,Diversified Banks
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail
BAX,Baxter International,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
BRKB,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
BIIB,Biogen,Health Care,Biotechnology
BLK,BlackRock,Financials,Asset Management & Custody Banks
BX,Blackstone,Financials,Asset Management & Custody Banks
BA,Boeing,Industrials,Aerospace & Defense
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
AVGO,Broadcom,Information Technology,Semiconductors
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRO,Brown & Brown,Financials,Insurance Brokers
BFB,Brown–Forman,Consumer Staples,Distillers & Vintners
BLDR,Builders FirstSource,Industrials,Building Products
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services
BXP,"BXP, Inc.",Real Estate,Office REITs
CDNS,Cadence Design Systems,Information Technology,Application Software
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats
COF,Capital One,Financials,Consumer Finance
CAH,Cardinal Health,Health Care,Health Care Distributors
KMX,CarMax,Consumer Discretionary,Automotive Retail
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,Carrier Global,Industrials,Building Products
CTLT,Catalent,Health Care,Pharmaceuticals
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate,Real Estate Services
CDW,CDW,Information Technology,Technology Distributors
CE,Celanese,Materials,Specialty Chemicals
COR,Cencora,Health Care,Health Care Distributors
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,Multi-Utilities
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CHRW,CH Robinson,Industrials,Air Freight & Logistics
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
CHTR,Charter Communications,Communication Services,Cable & Satellite
CVX,Chevron Corporation,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,Chubb Limited,Financials,Property & Casualty Insurance
CHD,Church & Dwight,Consumer Staples,Household Products
CI,Cigna,Health Care,Health Care Services
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,Cintas,Industrials,Diversified Support Services
CSCO,Cisco,Information Technology,Communications Equipment
C,Citigroup,Financials,Diversified Banks
CFG,Citizens Financial Group,Financials,Regional Banks
CLX,Clorox,Consumer Staples,Household Products
CME,CME Group,Financials,Financial Exchanges & Data
CMS,CMS Energy,Utilities,Multi-Utilities
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,Cognizant,Information Technology,IT Consulting & Other Services
CL,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,Comcast,Communication Services,Cable & Satellite
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison,Utilities,Multi-Utilities
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
CEG,Constellation Energy,Utilities,Electric Utilities
COO,Cooper Companies (The),Health Care,Health Care Supplies
CPRT,Copart,Industrials,Diversified Support Services
GLW,Corning Inc.,Information Technology,Electronic Components
CPAY,Corpay,Financials,Transaction & Payment Processing Services
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group,Real Estate,Real Estate Services
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CTRA,Coterra,Energy,Oil & Gas Exploration & Production
CRWD,CrowdStrike,Information Technology,Systems Software
CCI,Crown Castle,Real Estate,Telecom Tower REITs
CSX,CSX,Industrials,Rail Transportation
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment
CVS,CVS Health,Health Care,Health Care Services
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DVA,DaVita,Health Care,Health Care Services
DAY,Dayforce,Industrials,Human Resource & Employment Services
DECK,Deckers Brands,Consumer Discretionary,Footwear
DE,Deere & Company,Industrials,Agricultural & Farm Machinery
DAL,Delta Air Lines,Industrials,Passenger Airlines
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DXCM,Dexcom,Health Care,Health Care Equipment
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty,Real Estate,Data Center REITs
DFS,Discover Financial,Financials,Consumer Finance
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
D,Dominion Energy,Utilities,Multi-Utilities
DPZ,Domino's,Consumer Discretionary,Restaurants
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
DOW,Dow Inc.,Materials,Commodity Chemicals
DHI,DR Horton,Consumer Discretionary,Homebuilding
DTE,DTE Energy,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
DD,DuPont,Materials,Specialty Chemicals
EMN,Eastman Chemical Company,Materials,Specialty Chemicals
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
EBAY,eBay,Consumer Discretionary,Broadline Retail
ECL,Ecolab,Materials,Specialty Chemicals
EIX,Edison International,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
ELV,Elevance Health,Health Care,Managed Health Care
EMR,Emerson Electric,Industrials,Electrical Components & Equipment
ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment
ETR,Entergy,Utilities,Electric Utilities
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
EFX,Equifax,Industrials,Research & Consulting Services
EQIX,Equinix,Real Estate,Data Center REITs
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products
ETSY,Etsy,Consumer Discretionary,Broadline Retail
EG,Everest Re,Financials,Reinsurance
EVRG,Evergy,Utilities,Electric Utilities
ES,Eversource,Utilities,Electric Utilities
EXC,Exelon,Utilities,Electric Utilities
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXPD,Expeditors International,Industrials,Air Freight & Logistics
EXR,Extra Space Storage,Real Estate,Self-Storage REITs
XOM,ExxonMobil,Energy,Integrated Oil & Gas
FFIV,"F5, Inc.",Information Technology,Communications Equipment
FDS,FactSet,Financials,Financial Exchanges & Data
FICO,Fair Isaac,Information Technology,Application Software
FAST,Fastenal,Industrials,Trading Companies & Distributors
FRT,Federal Realty,Real Estate,Retail REITs
FDX,FedEx,Industrials,Air Freight & Logistics
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services
FITB,Fifth Third Bank,Financials,Diversified Banks
FSLR,First Solar,Information Technology,Semiconductors
FE,FirstEnergy,Utilities,Electric Utilities
FI,Fiserv,Financials,Transaction & Payment Processing Services
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FTNT,Fortinet,Information Technology,Systems Software
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting
FOX,Fox Corporation (Class B),Communication Services,Broadcasting
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,Materials,Copper
GRMN,Garmin,Consumer Discretionary,Consumer Electronics
IT,Gartner,Information Technology,IT Consulting & Other Services
GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GE HealthCare,Health Care,Health Care Equipment
GEV,GE Vernova,Industrials,Heavy Electrical Equipment
GEN,Gen Digital,Information Technology,Systems Software
GNRC,Generac,Industrials,Electrical Components & Equipment
GD,General Dynamics,Industrials,Aerospace & Defense
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts Company,Consumer Discretionary,Distributors
GILD,Gilead Sciences,Health Care,Biotechnology
GPN,Global Payments,Financials,Transaction & Payment Processing Services
GL,Globe Life,Financials,Life & Health Insurance
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure
GS,Goldman Sachs,Financials,Investment Banking & Brokerage
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HIG,Hartford (The),Financials,Property & Casualty Insurance
HAS,Hasbro,Consumer Discretionary,Leisure Products
HCA,HCA Healthcare,Health Care,Health Care Facilities
DOC,Healthpeak,Real Estate,Health Care REITs
HSIC,Henry Schein,Health Care,Health Care Distributors
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats
HES,Hess Corporation,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,Hologic,Health Care,Health Care Equipment
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail
HON,Honeywell,Industrials,Industrial Conglomerates
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HWM,Howmet Aerospace,Industrials,Aerospace & Defense
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components
HUM,Humana,Health Care,Managed Health Care
HBAN,Huntington Bancshares,Financials,Regional Banks
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IBM,IBM,Information Technology,IT Consulting & Other Services
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IDXX,Idexx Laboratories,Health Care,Health Care Equipment
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
INCY,Incyte,Health Care,Biotechnology
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
PODD,Insulet Corporation,Health Care,Health Care Equipment
INTC,Intel,Information Technology,Semiconductors
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IPG,Interpublic Group of Companies (The),Communication Services,Advertising
INTU,Intuit,Information Technology,Application Software
ISRG,Intuitive Surgical,Health Care,Health Care Equipment
IVZ,Invesco,Financials,Asset Management & Custody Banks
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
IQV,IQVIA,Health Care,Life Sciences Tools & Services
IRM,Iron Mountain,Real Estate,Other Specialized REITs
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
JBL,Jabil,Information Technology,Electronic Manufacturing Services
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
J,Jacobs Solutions,Industrials,Construction & Engineering
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JCI,Johnson Controls,Industrials,Building Products
JPM,JPMorgan Chase,Financials,Diversified Banks
JNPR,Juniper Networks,Information Technology,Communications Equipment
K,Kellanova,Consumer Staples,Packaged Foods & Meats
KVUE,Kenvue,Consumer Staples,Personal Care Products
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,KeyCorp,Financials,Regional Banks
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments
KMB,Kimberly-Clark,Consumer Staples,Household Products
KIM,Kimco Realty,Real Estate,Retail REITs
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KKR,KKR,Financials,Asset Management & Custody Banks
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KR,Kroger,Consumer Staples,Food Retail
LHX,L3Harris,Industrials,Aerospace & Defense
LH,LabCorp,Health Care,Health Care Services
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LDOS,Leidos,Industrials,Diversified Support Services
LEN,Lennar,Consumer Discretionary,Homebuilding
LLY,Lilly (Eli),Health Care,Pharmaceuticals
LIN,Linde plc,Materials,Industrial Gases
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LMT,Lockheed Martin,Industrials,Aerospace & Defense
L,Loews Corporation,Financials,Multi-line Insurance
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LYB,LyondellBasell,Materials,Specialty Chemicals
MTB,M&T Bank,Financials,Regional Banks
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess,Financials,Financial Exchanges & Data
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,Marsh McLennan,Financials,Insurance Brokers
MLM,Martin Marietta Materials,Materials,Construction Materials
MAS,Masco,Industrials,Building Products
MA,Mastercard,Financials,Transaction & Payment Processing Services
MTCH,Match Group,Communication Services,Interactive Media & Services
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's,Consumer Discretionary,Restaurants
MCK,McKesson Corporation,Health Care,Health Care Distributors
MDT,Medtronic,Health Care,Health Care Equipment
MRK,Merck & Co.,Health Care,Pharmaceuticals
META,Meta Platforms,Communication Services,Interactive Media & Services
MET,MetLife,Financials,Life & Health Insurance
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,Micron Technology,Information Technology,Semiconductors
MSFT,Microsoft,Information Technology,Systems Software
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
MRNA,Moderna,Health Care,Biotechnology
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
MOH,Molina Healthcare,Health Care,Managed Health Care
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions,Information Technology,Communications Equipment
MSCI,MSCI,Financials,Financial Exchanges & Data
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,Netflix,Communication Services,Movies & Entertainment
NEM,Newmont,Materials,Gold
NWSA,News Corp (Class A),Communication Services,Publishing
NWS,News Corp (Class B),Communication Services,Publishing
NEE,NextEra Energy,Utilities,Multi-Utilities
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,NiSource,Utilities,Multi-Utilities
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NSC,Norfolk Southern Railway,Industrials,Rail Transportation
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor,Materials,Steel
NVDA,Nvidia,Information Technology,Semiconductors
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
NXPI,NXP Semiconductors,Information Technology,Semiconductors
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
ODFL,Old Dominion,Industrials,Cargo Ground Transportation
OMC,Omnicom Group,Communication Services,Advertising
ON,ON Semiconductor,Information Technology,Semiconductors
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation
ORCL,Oracle Corporation,Information Technology,Application Software
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PANW,Palo Alto Networks,Information Technology,Systems Software
PARA,Paramount Global,Communication Services,Movies & Entertainment
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PAYX,Paychex,Industrials,Human Resource & Employment Services
PAYC,Paycom,Industrials,Human Resource & Employment Services
PYPL,PayPal,Financials,Transaction & Payment Processing Services
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,Pfizer,Health Care,Pharmaceuticals
PCG,PG&E Corporation,Utilities,Multi-Utilities
PM,Philip Morris International,Consumer Staples,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West,Utilities,Multi-Utilities
PNC,PNC Financial Services,Financials,Regional Banks
POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL Corporation,Utilities,Electric Utilities
PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,Procter & Gamble,Consumer Staples,Personal Care Products
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PLD,Prologis,Real Estate,Industrial REITs
PRU,Prudential Financial,Financials,Life & Health Insurance
PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PTC,PTC,Information Technology,Application Software
PSA,Public Storage,Real Estate,Self-Storage REITs
PHM,PulteGroup,Consumer Discretionary,Homebuilding
QRVO,Qorvo,Information Technology,Semiconductors
PWR,Quanta Services,Industrials,Construction & Engineering
QCOM,Qualcomm,Information Technology,Semiconductors
DGX,Quest Diagnostics,Health Care,Health Care Services
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RJF,Raymond James,Financials,Investment Banking & Brokerage
RTX,RTX Corporation,Industrials,Aerospace & Defense
O,Realty Income,Real Estate,Retail REITs
REG,Regency Centers,Real Estate,Retail REITs
REGN,Regeneron,Health Care,Biotechnology
RF,Regions Financial Corporation,Financials,Regional Banks
RSG,Republic Services,Industrials,Environmental & Facilities Services
RMD,ResMed,Health Care,Health Care Equipment
RVTY,Revvity,Health Care,Health Care Equipment
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SPGI,S&P Global,Financials,Financial Exchanges & Data
CRM,Salesforce,Information Technology,Application Software
SBAC,SBA Communications,Real Estate,Telecom Tower REITs
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
SRE,Sempra Energy,Utilities,Multi-Utilities
NOW,ServiceNow,Information Technology,Systems Software
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SPG,Simon Property Group,Real Estate,Retail REITs
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SOLV,Solventum,Health Care,Health Care Technology
SO,Southern Company,Utilities,Electric Utilities
LUV,Southwest Airlines,Industrials,Passenger Airlines
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
SBUX,Starbucks,Consumer Discretionary,Restaurants
STT,State Street Corporation,Financials,Asset Management & Custody Banks
STLD,Steel Dynamics,Materials,Steel
STE,Steris,Health Care,Health Care Equipment
SYK,Stryker Corporation,Health Care,Health Care Equipment
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals"
SYF,Synchrony Financial,Financials,Consumer Finance
SNPS,Synopsys,Information Technology,Application Software
SYY,Sysco,Consumer Staples,Food Distributors
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TFX,Teleflex,Health Care,Health Care Equipment
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail
TT,Trane Technologies,Industrials,Building Products
TDG,TransDigm Group,Industrials,Aerospace & Defense
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TFC,Truist,Financials,Regional Banks
TYL,Tyler Technologies,Information Technology,Application Software
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
USB,U.S. Bank,Financials,Diversified Banks
UBER,Uber,Industrials,Passenger Ground Transportation
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail
UNP,Union Pacific Corporation,Industrials,Rail Transportation
UAL,United Airlines Holdings,Industrials,Passenger Airlines
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals,Industrials,Trading Companies & Distributors
UNH,UnitedHealth Group,Health Care,Managed Health Care
UHS,Universal Health Services,Health Care,Health Care Facilities
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VTR,Ventas,Real Estate,Health Care REITs
VLTO,Veralto,Industrials,Environmental & Facilities Services
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRSK,Verisk,Industrials,Research & Consulting Services
VZ,Verizon,Communication Services,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VTRS,Viatris,Health Care,Pharmaceuticals
VICI,Vici Properties,Real Estate,Hotel & Resort REITs
V,Visa Inc.,Financials,Transaction & Payment Processing Services
VST,Vistra,Utilities,Electric Utilities
VMC,Vulcan Materials Company,Materials,Construction Materials
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WM,Waste Management,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,Wells Fargo,Financials,Diversified Banks
WELL,Welltower,Real Estate,Health Care REITs
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WY,Weyerhaeuser,Real Estate,Timber REITs
