itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,39805,2,175,0.44,39765.0,-5.0438,5440031,217478,50373
371460,4,TIGER 차이나전기차SOLACTIVE,19375,2,435,2.3,,6.4942,4828099,93079,29388
102110,1,TIGER 200,39830,2,165,0.42,39800.0,-4.9827,1254218,50186,22265
252670,3,KODEX 200선물인버스2X,2175,5,-15,-0.68,2164.0,8.9552,221050018,474703,21187
153130,6,KODEX 단기채권,103025,2,5,0.0,103027.0,0.1263,3333,343,19442
122630,3,KODEX 레버리지,23850,2,185,0.78,23983.0,-10.8663,20537162,495229,18889
278540,1,KODEX MSCI Korea TR,12790,2,50,0.39,12799.0,-4.8189,279318,3601,18597
133690,4,TIGER 미국나스닥100,86415,2,2075,2.46,,3.6372,141225,12193,17404
273130,6,KODEX 종합채권(AA-이상)액티브,108330,2,160,0.15,108369.0,-1.3228,4934,534,15116
157450,6,TIGER 단기통안채,100445,3,0,0.0,100444.0,0.1545,3309,332,14896
310970,1,TIGER MSCI Korea TR,16075,2,60,0.37,16073.0,-4.786,1508,24,13535
102780,2,KODEX 삼성그룹,9920,2,105,1.07,9942.0,-6.3008,208446,2078,13134
278530,1,KODEX 200TR,13065,2,50,0.38,13051.0,-4.9654,52930,696,12934
305720,2,KODEX 2차전지산업,23185,2,760,3.39,23196.0,4.2053,2889663,66906,12821
292150,2,TIGER TOP10,13680,2,85,0.63,13730.0,-6.0795,270160,3727,12668
305540,2,TIGER 2차전지테마,23615,2,740,3.23,23614.0,10.2941,1812465,42747,12528
214980,6,KODEX 단기채권PLUS,103315,3,0,0.0,103321.0,0.1114,2080837,214992,12027
381170,4,TIGER 미국테크TOP10 INDXX,13075,2,335,2.63,,5.1155,1409545,18409,11114
148020,1,KBSTAR 200,39940,2,175,0.44,39907.0,-4.9617,147637,5901,11063
360750,4,TIGER 미국S&P500,13930,2,205,1.49,,3.8592,628367,8748,10796
114800,3,KODEX 인버스,4010,5,-15,-0.37,4005.0,4.5454,42000947,167579,10779
139260,2,TIGER 200 IT,36550,5,-100,-0.27,36690.0,-0.812,260083,9613,9291
381180,4,TIGER 미국필라델피아반도체나스닥,12630,2,435,3.57,,13.4946,1783215,22530,9226
233740,1,KODEX 코스닥150 레버리지,16020,2,385,2.46,16192.0,-6.5731,8913621,143387,7642
152100,1,ARIRANG 200,40490,2,175,0.43,40454.0,-5.0519,163547,6622,7572
091180,2,KODEX 자동차,20735,5,-55,-0.26,20757.0,-8.8158,264056,5525,7558
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),12100,2,430,3.68,,3.8718,583963,7016,7531
105190,1,KINDEX 200,40045,2,160,0.4,40014.0,-4.9679,178743,7164,6848
315930,2,KODEX Top5PlusTR,18925,5,-40,-0.21,18928.0,-0.3154,4004,76,6775
293180,1,HANARO 200,39845,2,170,0.43,39812.0,-5.0156,2508,100,6415
364980,2,TIGER KRX2차전지K-뉴딜,17210,2,580,3.49,17219.0,-3.314,1187763,20360,5490
360200,4,KINDEX 미국S&P500,14030,2,210,1.52,,3.8629,163237,2288,5444
069660,1,KOSEF 200,39830,2,175,0.44,39767.0,-4.9998,3682,147,5317
294400,1,KOSEF 200TR,47515,2,230,0.49,47453.0,-5.0407,4162,198,5227
314250,4,KODEX 미국FANG플러스(H),30150,2,760,2.59,,-0.4404,166981,5028,5035
251340,3,KODEX 코스닥150선물인버스,4125,5,-40,-0.96,4128.0,0.6038,23958370,98486,4599
400970,2,TIGER Fn메타버스,12475,5,-5,-0.04,12485.0,,2180294,27420,4198
401470,2,KODEX K-메타버스액티브,12640,2,240,1.94,12679.0,,3172191,40087,4152
226490,1,KODEX 코스피,30255,2,115,0.38,30259.0,-5.7536,378948,11517,3812
385540,6,KBSTAR KIS종합채권(A-이상)액티브,99875,2,20,0.02,100007.0,-1.168,41,4,3799
196230,6,KBSTAR 단기통안채,104720,2,10,0.01,104719.0,0.1434,543327,56896,3762
364960,2,TIGER KRX BBIG K-뉴딜,11970,2,280,2.4,11959.0,-13.0209,570048,6831,3645
251350,4,KODEX 선진국MSCI World,21260,2,520,2.51,,0.2658,18869,399,3614
229200,1,KODEX 코스닥 150,14880,2,180,1.22,15072.0,-3.5117,1409750,21036,3594
332500,1,KINDEX 200TR,24345,2,95,0.39,24342.0,-5.0695,5816,142,3506
367380,4,KINDEX 미국나스닥100,14825,2,355,2.45,,3.6532,142789,2114,3499
367770,2,KBSTAR Fn수소경제테마,11435,5,-30,-0.26,11457.0,-10.9861,186116,2146,3385
290130,2,KBSTAR ESG사회책임투자,13055,5,-15,-0.11,13056.0,-2.9696,31165,409,3375
091170,2,KODEX 은행,7565,2,10,0.13,7589.0,3.2809,1304148,9920,3208
371160,4,TIGER 차이나항셍테크,7810,2,80,1.03,,-13.1949,1125859,8810,3202
332940,1,HANARO MSCI Korea TR,16005,2,20,0.13,16059.0,-5.0208,656,10,3121
