itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
459580,6,KODEX CD금리액티브(합성),1046085,2,230,0.02,1046089.0,0.8972,195638,204654,93402
069500,1,KODEX 200,36820,5,-115,-0.31,36885.0,-0.4931,1101467,40510,61140
357870,6,TIGER CD금리투자KIS(합성),54825,3,0,0.0,54828.0,0.911,25319,1388,61007
423160,6,KODEX KOFR금리액티브(합성),107820,2,30,0.03,107779.0,0.8939,16807,1812,45037
360750,4,TIGER 미국S&P500,18650,5,-35,-0.19,18599.0,3.673,4820460,89909,43184
449170,6,TIGER KOFR금리액티브(합성),106345,2,25,0.02,106309.0,0.9063,12834,1364,36896
133690,4,TIGER 미국나스닥100,116830,5,-1045,-0.89,116383.0,3.8162,57140,6677,36299
273130,6,KODEX 종합채권(AA-이상)액티브,113760,5,-185,-0.16,113765.0,3.2578,2537,288,28027
381180,4,TIGER 미국필라델피아반도체나스닥,18150,5,-450,-2.42,18022.0,1.4619,687020,12464,27506
381170,4,TIGER 미국테크TOP10 INDXX,20120,5,-235,-1.15,20044.0,7.6984,1040203,20942,27182
278530,1,KODEX 200TR,12855,5,-40,-0.31,12880.0,-0.54,8870,113,22657
122630,3,KODEX 레버리지,18745,5,-120,-0.64,18902.0,-4.19,4098125,76627,21332
465680,6,KODEX 24-12 은행채(AA+이상)액티브,10395,2,5,0.05,10393.0,0.9227,451,4,21222
455890,6,RISE 머니마켓액티브,52800,2,5,0.01,52800.0,1.0237,18609,982,20194
102110,1,TIGER 200,36880,5,-110,-0.3,36949.0,-0.5325,348733,12843,19712
379800,4,KODEX 미국S&P500TR,17040,5,-35,-0.2,17000.0,3.6733,1098057,18717,16733
481050,6,KODEX 1년은행양도성예금증서+액티브(합성),1012900,2,90,0.01,1012905.0,0.9066,5609,5681,16717
470260,6,TIGER 24-12 금융채(AA-이상),51775,3,0,0.0,51776.0,1.0243,63,3,16199
453850,6,ACE 미국30년국채액티브(H),8885,5,-65,-0.73,8869.0,8.4717,861121,7656,15309
371460,4,TIGER 차이나전기차SOLACTIVE,6525,3,0,0.0,6549.0,-17.6137,145736,952,14666
214980,6,KODEX 단기채권PLUS,111670,2,15,0.01,111671.0,0.963,202218,22580,14075
233740,3,KODEX 코스닥150레버리지,9125,5,-65,-0.71,9187.0,-12.1415,5627739,50934,13186
252670,3,KODEX 200선물인버스2X,1989,2,14,0.71,1991.0,-1.9852,70732449,141032,13054
102780,2,KODEX 삼성그룹,9530,2,15,0.16,9553.0,0.5282,74257,706,12904
